_id,Reporting date,Card Type,Category,Series Description,Sector,Sub-sector,ObservationType,Observation Scale,Value
1265,2020-11,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,891843
1266,2020-11,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,727817
1267,2020-11,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164026
1268,2020-11,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,3025739
1269,2020-11,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2430576
1270,2020-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,483194
1271,2020-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,111969
1272,2020-11,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,148604
1273,2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,104001
1274,2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,26973
1275,2020-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,77028
1276,2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,44603
1277,2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,40882
1278,2020-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3721
1279,2020-12,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7808014
1280,2020-12,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6802465
1281,2020-12,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1252653
1282,2020-12,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5549813
1283,2020-12,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,1005549
1284,2020-12,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,821745
1285,2020-12,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183804
1286,2020-12,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2739965
1287,2020-12,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2235706
1288,2020-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,398684
1289,2020-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,105575
1290,2020-12,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,161746
1291,2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,121839
1292,2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,31580
1293,2020-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,90259
1294,2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,39907
1295,2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,36129
1296,2020-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3778
1297,2021-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5130771
1298,2021-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4480625
1299,2021-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,754956
1300,2021-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3725668
1301,2021-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,650146
1302,2021-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,528867
1303,2021-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,121279
1304,2021-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2475636
1305,2021-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2028656
1306,2021-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,357672
1307,2021-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,89308
1308,2021-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,111623
1309,2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,83817
1310,2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,25333
1311,2021-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,58484
1312,2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,27806
1313,2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,25129
1314,2021-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,2677
1315,2021-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5307442
1316,2021-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4661566
1317,2021-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,810173
1318,2021-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,3851393
1319,2021-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,645876
1320,2021-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,523912
1321,2021-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,121964
1322,2021-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2439419
1323,2021-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2011990
1324,2021-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,339984
1325,2021-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,87445
1326,2021-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,110208
1327,2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,82965
1328,2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,24975
1329,2021-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,57990
1330,2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,27243
1331,2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,24338
1332,2021-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,2905
1333,2021-03,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6524864
1334,2021-03,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5722545
1335,2021-03,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1001467
1336,2021-03,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4721077
1337,2021-03,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,802319
1338,2021-03,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653049
1339,2021-03,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,149270
1340,2021-03,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2870199
1341,2021-03,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2361049
1342,2021-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,404066
1343,2021-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,105084
1344,2021-03,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,122357
1345,2021-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,89215
1346,2021-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,30009
1347,2021-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,59206
1348,2021-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,33142
1349,2021-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,29517
1350,2021-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3625
1351,2021-04,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6175079
1352,2021-04,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5427921
1353,2021-04,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,972268
1354,2021-04,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4455653
1355,2021-04,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,747158
1356,2021-04,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,608646
1357,2021-04,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,138512
1358,2021-04,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2646251
1359,2021-04,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2186163
1360,2021-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,363635
1361,2021-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,96453
1362,2021-04,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,118058
1363,2021-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,86453
1364,2021-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,27208
1365,2021-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,59245
1366,2021-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,31605
1367,2021-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,28118
1368,2021-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,3487
1369,2021-05,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,6795434
1370,2021-05,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,5978218
1371,2021-05,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1033594
1372,2021-05,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,4944624
1373,2021-05,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,817216
1374,2021-05,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,673667
1375,2021-05,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,143549
1376,2021-05,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2692166
1377,2021-05,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2235679
1378,2021-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,360464
1379,2021-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,96023
1380,2021-05,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,152926
1381,2021-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,115005
1382,2021-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,30791
1383,2021-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,84214
1384,2021-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,37921
1385,2021-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,33626
1386,2021-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,4295
1387,2021-06,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7032378
1388,2021-06,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6152482
1389,2021-06,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1099882
1390,2021-06,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5052599
1391,2021-06,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,879896
1392,2021-06,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,728579
1393,2021-06,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,151317
1394,2021-06,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2559185
1395,2021-06,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2110866
1396,2021-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,351278
1397,2021-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,97041
1398,2021-06,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,176747
1399,2021-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,135058
1400,2021-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,36046
1401,2021-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,99012
1402,2021-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,41689
1403,2021-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,36346
1404,2021-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,5343
1405,2021-07,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7227411
1406,2021-07,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6325466
1407,2021-07,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1152245
1408,2021-07,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5173221
1409,2021-07,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,901945
1410,2021-07,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,748424
1411,2021-07,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,153521
1412,2021-07,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2579585
1413,2021-07,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2135441
1414,2021-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,347755
1415,2021-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,96389
1416,2021-07,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,234993
1417,2021-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,179402
1418,2021-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,48074
1419,2021-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,131328
1420,2021-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,55591
1421,2021-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,48876
1422,2021-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,6715
1423,2021-08,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7664644
1424,2021-08,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6691310
1425,2021-08,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1184841
1426,2021-08,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5506469
1427,2021-08,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,973334
1428,2021-08,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,819267
1429,2021-08,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,154067
1430,2021-08,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2783248
1431,2021-08,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2308466
1432,2021-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,378580
1433,2021-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,96202
1434,2021-08,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,346112
1435,2021-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,268691
1436,2021-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,68385
1437,2021-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,200306
1438,2021-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,77421
1439,2021-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,70187
1440,2021-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,7234
1441,2021-09,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7454817
1442,2021-09,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6455694
1443,2021-09,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1156215
1444,2021-09,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5299480
1445,2021-09,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,999123
1446,2021-09,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,821173
1447,2021-09,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,177950
1448,2021-09,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2919129
1449,2021-09,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2379828
1450,2021-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,425296
1451,2021-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,114005
1452,2021-09,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,323170
1453,2021-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,240241
1454,2021-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,60928
1455,2021-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,179313
1456,2021-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,82929
1457,2021-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,72610
1458,2021-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,10319
1459,2021-10,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,7307511
1460,2021-10,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,6351073
1461,2021-10,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1134198
1462,2021-10,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,5216874
1463,2021-10,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,956438
1464,2021-10,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,787251
1465,2021-10,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,169187
1466,2021-10,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,2778072
1467,2021-10,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2277252
1468,2021-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,395816
1469,2021-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,105004
1470,2021-10,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,313109
1471,2021-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,227315
1472,2021-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,52954
1473,2021-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,174361
1474,2021-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,85794
1475,2021-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,74151
1476,2021-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,11643
1477,2021-11,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,8296366
1478,2021-11,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,7158426
1479,2021-11,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1138998
1480,2021-11,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,6019428
1481,2021-11,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,1137940
1482,2021-11,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,942547
1483,2021-11,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,195393
1484,2021-11,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,3351378
1485,2021-11,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,2732427
1486,2021-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,500293
1487,2021-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,118658
1488,2021-11,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,312817
1489,2021-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,230804
1490,2021-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,63412
1491,2021-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,167392
1492,2021-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,82013
1493,2021-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,69537
1494,2021-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,12476
1495,2021-12,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,8439832
1496,2021-12,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,7385623
1497,2021-12,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1232282
1498,2021-12,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,6153340
1499,2021-12,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,1054209
1500,2021-12,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,866723
1501,2021-12,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,187486
